index,airport,year,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,index,Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,index,Key,LocID,AP_NAME,ALIAS,Facility Type,FAA REGION,COUNTY,CITY,STATE,AP Type,Latitude,Longitude,Boundary Data Available
258,HNL,2009,90128,91124,0.8678,0.8394,0.8452,7.5,12.35,2.25,8.95,1.88,1.47,4.24,9.04,247,HNL,2009,250,260,58,83,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
257,HNL,2008,91217,100500,0.8652,0.8433,0.8411,8.23,11.9,2.02,9.48,2.11,1.25,3.56,10,246,HNL,2008,463,484,47,50,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
256,HNL,2007,102986,111266,0.8858,0.8823,0.8633,7.77,11.93,1.36,8.11,2.38,0.81,2.95,9.14,245,HNL,2007,407,416,23,43,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
255,HNL,2006,101458,100974,0.8861,0.879,0.8495,7.2,12.37,1.63,7.75,2.59,0.87,3.47,8.55,244,HNL,2006,608,568,20,53,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
254,HNL,2005,97359,95239,0.8672,0.8734,0.8282,10.75,12.79,0.8,10.5,2.73,1.65,3.68,10.19,243,HNL,2005,92,81,26,49,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
253,HNL,2004,92661,91206,0.8673,0.8664,0.836,11.26,14.96,1.17,11.37,3.51,0.86,4.15,10.69,242,HNL,2004,96,89,33,41,24,975,HNL,HONOLULU INTL,Honolulu Int'l Airport,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
461,MIA,2014,168629,164346,0.7783,0.7172,0.7825,14.23,17.11,4.28,17.44,2.8,2.4,3.81,14.61,450,MIA,2014,835,948,283,337,33,825,MIA,MIAMI INTL,Miami Int'l Airport,Airport,ASO,DADE,MIAMI,FL,Federalized/Commercial,25.795361,-80.290111,Yes
460,MIA,2013,166455,159690,0.7684,0.7153,0.7821,14.58,16.41,3.68,17.44,2.17,2.35,3.2,14.02,449,MIA,2013,564,596,270,203,33,825,MIA,MIAMI INTL,Miami Int'l Airport,Airport,ASO,DADE,MIAMI,FL,Federalized/Commercial,25.795361,-80.290111,Yes
459,MIA,2012,162815,157000,0.7445,0.6962,0.7651,16.92,16.25,3.5,19.61,2.21,2.56,3.31,14.94,448,MIA,2012,921,960,247,237,33,825,MIA,MIAMI INTL,Miami Int'l Airport,Airport,ASO,DADE,MIAMI,FL,Federalized/Commercial,25.795361,-80.290111,Yes
458,MIA,2011,164184,155362,0.735,0.6871,0.7666,17.8,16.2,3.43,20.51,2.59,2.25,3.43,14.36,447,MIA,2011,1458,1522,372,278,33,825,MIA,MIAMI INTL,Miami Int'l Airport,Airport,ASO,DADE,MIAMI,FL,Federalized/Commercial,25.795361,-80.290111,Yes
